geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_29073,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_29075,9.0,7.0,22.22,27.160690914465174,1.0,88.89,20.531387474466175
#_29077,936.0,415.0,55.66,3.182640554069884,220.0,76.5,2.7163316609552104
#_29079,108.0,68.0,37.04,9.107769738301792,56.0,48.15,9.423597313835801
#_29081,80.0,63.0,21.25,8.964288524473092,44.0,45.0,10.901811776030625
#_29083,26.0,16.0,38.46,18.7004812581429,6.0,76.92,16.195969021001208
#_29085,35.0,21.0,40.0,16.23034195573217,8.0,77.14,13.912333488814879
#_29087,8.0,2.0,75.0,30.00624934909393,1.0,87.5,22.91765149399039
#_29089,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_29091,457.0,237.0,48.14,4.5810736132459295,157.0,65.65,4.353902578996923
#_29093,3.0,3.0,0.0,0.0,2.0,33.33,53.34310952616092
#_29095,1023.0,718.0,29.81,2.8030888489403547,378.0,63.05,2.9577946653718956
#_29097,146.0,48.0,67.12,7.620290395070616,18.0,87.67,5.33318544314361
#_29099,241.0,147.0,39.0,6.158072123819083,103.0,57.26,6.245834623204086
#_29101,88.0,71.0,19.32,8.24899881263836,41.0,53.41,10.422511415986248
#_29103,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_29105,45.0,27.0,40.0,14.31381616946834,8.0,82.22,11.17131837296844
#_29107,122.0,74.0,39.34,8.66851164217317,35.0,71.31,8.026323286148552
#_29109,99.0,62.0,37.37,9.529963314586983,27.0,72.73,8.77279208710866
#_29111,66.0,37.0,43.94,11.974039227757642,23.0,65.15,11.49589278697818
#_29113,92.0,62.0,32.61,9.579333323358155,42.0,54.35,10.17846582571349
#_29115,26.0,21.0,19.23,15.149004023316564,11.0,57.69,18.990709022126502
#_29117,18.0,10.0,44.44,22.95556373402027,4.0,77.78,19.205508727330177
#_29119,3.0,2.0,33.33,53.34310952616092,0.0,100.0,0.0
#_29121,3.0,2.0,33.33,53.34310952616092,2.0,33.33,53.34310952616092
#_29123,7.0,4.0,42.86,36.66091100231962,2.0,71.43,33.46589904484862
#_29125,3.0,3.0,0.0,0.0,2.0,33.33,53.34310952616092
#_29127,64.0,46.0,28.12,11.014829442165684,31.0,51.56,12.244036228303148
#_29129,5.0,3.0,40.0,42.941448508405024,1.0,80.0,35.0615458871967
#_29131,12.0,10.0,16.67,21.087929410289036,5.0,58.33,27.894795813556335
#_29133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29135,10.0,2.0,80.0,24.792256855720094,0.0,100.0,0.0
#_29137,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_29139,42.0,34.0,19.05,11.876469088074955,14.0,66.67,14.256545699432245
#_29141,15.0,10.0,33.33,23.855763806342484,7.0,53.33,25.247311251906936
#_29143,2.0,2.0,0.0,0.0,0.0,100.0,0.0
#_29145,4.0,0.0,100.0,0.0,0.0,100.0,0.0
#_29147,74.0,59.0,20.27,9.15963078106347,43.0,41.89,11.24141107608923
#_29149,28.0,13.0,53.57,18.472991087531007,6.0,78.57,15.199052592842754
#_29151,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_29153,47.0,20.0,57.45,14.13519945896346,11.0,76.6,12.104015075014168
#_29155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29157,21.0,15.0,28.57,19.321545822216194,6.0,71.43,19.32154582221619
#_29159,264.0,74.0,71.97,5.418030033978301,46.0,82.58,4.5752583524337895
#_29161,43.0,31.0,27.91,13.407236632401522,12.0,72.09,13.407236632401522
#_29163,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_29165,43.0,24.0,44.19,14.843620950961188,16.0,62.79,14.447640284867637
#_29167,125.0,81.0,35.2,8.372591443991519,42.0,66.4,8.280465331851829
#_29169,47.0,38.0,19.15,11.249456576946093,24.0,48.94,14.291556485249037
#_29171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29173,20.0,16.0,20.0,17.53077294359835,13.0,35.0,20.904114427547512
#_29175,9.0,1.0,88.89,20.531387474466175,0.0,100.0,0.0
#_29177,46.0,20.0,56.52,14.325935774397912,13.0,71.74,13.011995980164844
#_29179,14.0,5.0,64.29,25.099131358674544,3.0,78.57,21.494706312020178
#_29181,9.0,4.0,55.56,32.46406956457144,2.0,77.78,27.160690914465174
#_29183,225.0,106.0,52.89,6.522410792419215,60.0,73.33,5.778527210192345
#_29185,2.0,2.0,0.0,0.0,2.0,0.0,0.0
#_29186,6.0,3.0,50.0,40.00833246545858,2.0,66.67,37.71927447552511
#_29187,14.0,7.0,50.0,26.191601707417593,6.0,57.14,25.923178774216712
#_29189,1090.0,594.0,45.5,2.9562882132836776,338.0,68.99,2.74591303039543
#_29195,24.0,17.0,29.17,18.18558541097866,6.0,75.0,17.324116139070416
#_29197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29201,46.0,31.0,32.61,13.547223104385637,6.0,86.96,9.731408796353135
#_29203,12.0,5.0,58.33,27.894795813556335,3.0,75.0,24.5
#_29205,6.0,4.0,33.33,37.71927447552511,2.0,66.67,37.71927447552511
#_29207,9.0,2.0,77.78,27.160690914465174,2.0,77.78,27.160690914465174
#_29209,39.0,23.0,41.03,15.437966358831408,15.0,61.54,15.268879008976699
#_29211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29213,66.0,37.0,43.94,11.974039227757642,15.0,77.27,10.110887485670029
#_29215,5.0,4.0,20.0,35.0615458871967,2.0,60.0,42.941448508405024
#_29217,28.0,11.0,60.71,18.090400699818673,3.0,89.29,11.454422616614071
#_29219,38.0,33.0,13.16,10.748605538737033,23.0,39.47,15.54115075208227
#_29221,5.0,3.0,40.0,42.941448508405024,1.0,80.0,35.0615458871967
#_29223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_29225,13.0,5.0,61.54,26.446474218169566,3.0,76.92,22.904559045274404
#_29227,22.0,16.0,27.27,18.60990232420266,2.0,90.91,12.01247512728482
#_29229,21.0,11.0,47.62,21.361112465412468,9.0,57.14,21.166186835926148
#_29510,1845.0,438.0,76.26,1.9415413478299484,281.0,84.77,1.6395660968997197
#_30001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30013,164.0,112.0,31.71,7.122145220743947,73.0,55.49,7.606244943818589
#_30015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30017,28.0,16.0,42.86,18.33045550115981,9.0,67.86,17.298439203581346
#_30019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30025,27.0,22.0,18.52,14.652785450479298,13.0,51.85,18.847194627671602
#_30027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30029,107.0,92.0,14.02,6.578651942244417,64.0,40.19,9.289879629734353
#_30031,62.0,52.0,16.13,9.155471853170297,28.0,54.84,12.387564143279782
#_30033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30035,3.0,3.0,0.0,0.0,3.0,0.0,0.0
#_30037,3.0,1.0,66.67,53.34310952616092,1.0,66.67,53.34310952616092
#_30039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30047,7.0,6.0,14.29,25.926202767084888,5.0,28.57,33.46589904484862
#_30049,78.0,55.0,29.49,10.119790308864339,28.0,64.1,10.645964387672436
#_30051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30053,21.0,13.0,38.1,20.77084841791495,7.0,66.67,20.1618002807289
#_30055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30059,10.0,0.0,100.0,0.0,0.0,100.0,0.0
#_30061,63.0,47.0,25.4,10.749099145716556,25.0,60.32,12.080983600868121
#_30063,29.0,22.0,24.14,15.575145931280698,17.0,41.38,17.925662799230718
#_30065,46.0,2.0,95.65,5.894734798769665,0.0,100.0,0.0
#_30067,5.0,3.0,40.0,42.941448508405024,1.0,80.0,35.0615458871967
#_30069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30073,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30079,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30081,12.0,10.0,16.67,21.087929410289036,5.0,58.33,27.894795813556335
#_30083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30089,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_30091,5.0,2.0,60.0,42.941448508405024,0.0,100.0,0.0
#_30093,2.0,2.0,0.0,0.0,2.0,0.0,0.0
#_30095,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_30097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30099,12.0,4.0,66.67,26.67155476308046,1.0,91.67,15.63513245269554
#_30101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_30111,177.0,126.0,28.81,6.671915906676485,78.0,55.93,7.314141754534411
#_31001,115.0,37.0,67.83,8.537753074616907,15.0,86.96,6.154683327734715
#_31003,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_31005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31011,83.0,39.0,53.01,10.737388073860174,31.0,62.65,10.40693557201158
#_31013,12.0,5.0,58.33,27.894795813556335,3.0,75.0,24.5
#_31015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31017,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_31019,140.0,61.0,56.43,8.213738244185773,47.0,66.43,7.822577065392196
#_31021,4.0,1.0,75.0,42.43524478543749,0.0,100.0,0.0
#_31023,64.0,45.0,29.69,11.193856422051338,35.0,45.31,12.195990492678321
#_31025,22.0,13.0,40.91,20.545488214115615,3.0,86.36,14.341950952363488
#_31027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31037,17.0,11.0,35.29,22.716590000728026,7.0,58.82,23.39576723426697
#_31039,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_31041,17.0,4.0,76.47,20.164530721279178,2.0,88.24,15.313272866142666
#_31043,19.0,11.0,42.11,22.201057742274116,5.0,73.68,19.801451297369727
#_31045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31047,156.0,71.0,54.49,7.814579142760122,49.0,68.59,7.283802171309242
#_31049,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31051,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_31053,88.0,62.0,29.55,9.533096222681753,19.0,78.41,8.596601264876297
#_31055,854.0,592.0,30.68,3.0930297032065552,298.0,65.11,3.1966969627218984
#_31057,35.0,21.0,40.0,16.23034195573217,12.0,65.71,15.726117829394513
#_31059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31063,6.0,4.0,33.33,37.71927447552511,2.0,66.67,37.71927447552511
#_31065,9.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31067,7.0,5.0,28.57,33.46589904484862,3.0,57.14,36.66091100231962
#_31069,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31073,20.0,3.0,85.0,15.649345034217886,0.0,100.0,0.0
#_31075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31077,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31079,247.0,194.0,21.46,5.119975726410071,163.0,34.01,5.908129076242195
#_31081,20.0,19.0,5.0,9.551858457912784,10.0,50.0,21.913466179497938
#_31083,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31085,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_31087,29.0,22.0,24.14,15.575145931280698,20.0,31.03,16.837518007117318
#_31089,89.0,56.0,37.08,10.03518279492907,48.0,46.07,10.355841250318477
#_31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31093,4.0,4.0,0.0,0.0,4.0,0.0,0.0
#_31095,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_31097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31099,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_31101,2.0,2.0,0.0,0.0,1.0,50.0,69.29646455628166
#_31103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31107,2.0,1.0,50.0,69.29646455628166,0.0,100.0,0.0
#_31109,398.0,161.0,59.55,4.8218609379079584,85.0,78.64,4.026585376041686
#_31111,38.0,20.0,47.37,15.875691478483699,17.0,55.26,15.809484285207109
#_31113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31115,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_31117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31121,27.0,17.0,37.04,18.215539476603585,15.0,44.44,18.743139302096054
#_31123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31125,22.0,10.0,54.55,20.80698011813256,9.0,59.09,20.545488214115615
#_31127,15.0,12.0,20.0,20.242792956177432,3.0,80.0,20.242792956177432
#_31129,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31135,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31139,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_31141,61.0,39.0,36.07,12.050819380454088,14.0,77.05,10.552827044112437
#_31143,2.0,2.0,0.0,0.0,0.0,100.0,0.0
#_31145,5.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31147,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_31149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31151,14.0,1.0,92.86,13.488246652549027,1.0,92.86,13.488246652549027
#_31153,250.0,173.0,30.8,5.722877799149654,101.0,59.6,6.082748768114626
#_31155,5.0,4.0,20.0,35.0615458871967,0.0,100.0,0.0
#_31157,2.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31159,3.0,2.0,33.33,53.34310952616092,2.0,33.33,53.34310952616092
#_31161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31163,2.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_31173,10.0,7.0,30.0,28.403098422531297,0.0,100.0,0.0
#_31175,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31177,46.0,37.0,19.57,11.465199147059728,18.0,60.87,14.103721720478452
#_31179,12.0,7.0,41.67,27.894795813556335,4.0,66.67,26.67155476308046
#_31181,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_31183,49.0,22.0,55.1,13.926981582525338,19.0,61.22,13.64295970235198
#_31185,3.0,2.0,33.33,53.34310952616092,2.0,33.33,53.34310952616092
#_32001,54.0,51.0,5.56,6.111876589795386,17.0,68.52,12.387544580298748
#_32003,1735.0,1325.0,23.63,1.9989392144990923,638.0,63.23,2.2688967740708366
#_32005,86.0,80.0,6.98,5.3854590089187555,50.0,41.86,10.426630216990553
#_32007,23.0,11.0,52.17,20.415158785824683,4.0,82.61,15.49024388142701
#_32009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_32011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_32013,51.0,41.0,19.61,10.897096440615657,24.0,52.94,13.699001499493942
#_32015,4.0,4.0,0.0,0.0,3.0,25.0,42.43524478543749
#_32017,12.0,11.0,8.33,15.635132452695542,5.0,58.33,27.894795813556335
#_32019,28.0,23.0,17.86,14.187149075131337,11.0,60.71,18.090400699818673
#_32021,52.0,45.0,13.46,9.27652618735135,39.0,25.0,11.769419304673903
#_32023,11.0,10.0,9.09,16.988205242675658,3.0,72.73,26.318376261325987
#_32027,13.0,10.0,23.08,22.904559045274404,8.0,38.46,26.446474218169566
#_32029,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_32031,887.0,668.0,24.69,2.8377957255151354,255.0,71.25,2.978554975268878
#_32033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_32510,97.0,76.0,21.65,8.19631526716505,21.0,78.35,8.19631526716505
#_33001,67.0,52.0,22.39,9.98170104595135,42.0,37.31,11.580583156404002
#_33003,45.0,34.0,24.44,12.555857839838035,16.0,64.44,13.986480896637296
#_33005,338.0,299.0,11.54,3.4062309687606884,217.0,35.8,5.111010210592527
#_33007,158.0,126.0,20.25,6.266216380042983,71.0,55.06,7.756435143850524
#_33009,194.0,139.0,28.35,6.342198569977995,83.0,57.22,6.962248547555462
#_33011,635.0,534.0,15.91,2.8449620317796365,323.0,49.13,3.8884226085411773
#_33013,147.0,114.0,22.45,6.745225570727786,77.0,47.62,8.073741615880458
#_33015,293.0,243.0,17.06,4.307187621756247,165.0,43.69,5.679446948944087
#_33017,64.0,52.0,18.75,9.562653185047548,38.0,40.62,12.032507485557614
#_33019,116.0,95.0,18.1,7.0066159769375025,62.0,46.55,9.077385388026588
#_34001,305.0,149.0,51.15,5.609979247791896,96.0,68.52,5.2123334440850835
#_34003,107.0,88.0,17.76,7.2414779742012,41.0,61.68,9.211897887682218
#_34005,213.0,137.0,35.68,6.43356525555347,100.0,53.05,6.702344735817942
#_34007,486.0,317.0,34.77,4.234127887756408,206.0,57.61,4.393580445250649
#_34009,4.0,3.0,25.0,42.43524478543749,1.0,75.0,42.43524478543749
#_34011,235.0,112.0,52.34,6.3858103786175455,88.0,62.55,6.188162479815453
#_34013,778.0,259.0,66.71,3.3114533458122284,187.0,75.96,3.002797063989911
#_34015,310.0,250.0,19.35,4.39762198349033,162.0,47.74,5.560337261713538
#_34017,346.0,238.0,31.21,4.88233484175881,156.0,54.91,5.243048335361444
#_34019,45.0,41.0,8.89,8.315410973527808,29.0,35.56,13.986480896637296
#_34021,610.0,410.0,32.79,3.7254506078954868,278.0,54.43,3.952299389701654
#_34023,191.0,178.0,6.81,3.572708634292718,116.0,39.27,6.925824445360863
#_34025,191.0,45.0,76.44,6.018487598647898,28.0,85.34,5.016290650496816
#_34027,99.0,83.0,16.16,7.250780984086606,57.0,42.42,9.735530830059053
#_34029,1288.0,998.0,22.52,2.281272361986884,673.0,47.75,2.7278970439898744
#_34031,119.0,108.0,9.24,5.203143694073465,73.0,38.66,8.749543634216518
#_34033,6.0,6.0,0.0,0.0,4.0,33.33,37.71927447552511
#_34035,58.0,50.0,13.79,8.873665021927485,37.0,36.21,12.368944421161942
#_34037,4.0,2.0,50.0,49.0,1.0,75.0,42.43524478543749
#_34039,146.0,70.0,52.05,8.103717934143832,49.0,66.44,7.659588376507855
#_34041,17.0,14.0,17.65,18.123236894368834,10.0,41.18,23.39576723426697
#_35001,51.0,27.0,47.06,13.699001499493942,17.0,66.67,12.937604410309007
#_35003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35005,53.0,27.0,49.06,13.45895616956752,14.0,73.58,11.870374886992233
#_35006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35007,39.0,15.0,61.54,15.268879008976699,8.0,79.49,12.672515950225431
#_35009,12.0,5.0,58.33,27.894795813556335,0.0,100.0,0.0
#_35011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35013,19.0,15.0,21.05,18.33079869624085,7.0,63.16,21.69002948123497
#_35015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35025,1.0,1.0,0.0,0.0,0.0,100.0,0.0
#_35027,33.0,29.0,12.12,11.135133686261206,6.0,81.82,13.159087612472504
#_35028,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35029,4.0,1.0,75.0,42.43524478543749,1.0,75.0,42.43524478543749
#_35031,268.0,176.0,34.33,5.684720075335757,94.0,64.93,5.7131977793761575
#_35033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35035,4.0,2.0,50.0,49.0,2.0,50.0,49.0
#_35037,48.0,35.0,27.08,12.571384587758555,17.0,64.58,13.530341291088462
#_35039,5.0,2.0,60.0,42.941448508405024,1.0,80.0,35.0615458871967
#_35041,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_35043,13.0,7.0,46.15,27.099613797986127,3.0,76.92,22.904559045274404
#_35045,151.0,43.0,71.52,7.198654715821276,11.0,92.72,4.144002405583694
#_35047,12.0,9.0,25.0,24.5,3.0,75.0,24.5
#_35049,108.0,62.0,42.59,9.32592217813298,29.0,73.15,8.358406792631662
#_35051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35053,24.0,2.0,91.67,11.055708182050873,1.0,95.83,7.997775737040894
#_35055,39.0,14.0,64.1,15.05566722158734,7.0,82.05,12.04468057500265
#_35057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_35059,92.0,38.0,58.7,10.061349472977833,22.0,76.09,8.715970221530629
#_35061,22.0,14.0,36.36,20.10118930972629,7.0,68.18,19.4636065565735
#_36001,909.0,579.0,36.3,3.126058913397667,391.0,56.99,3.2185345796352776
#_36003,256.0,173.0,32.42,5.73392077007522,94.0,63.28,5.905010309897858
#_36005,10869.0,7969.0,26.68,0.8315060581809425,5931.0,45.43,0.9360727922276569
#_36007,1046.0,756.0,27.72,2.712663438707744,472.0,54.88,3.015656183799972
#_36009,99.0,68.0,31.31,9.135383131096319,40.0,59.6,9.666122316961681
#_36011,19.0,15.0,21.05,18.33079869624085,11.0,42.11,22.201057742274116
#_36013,191.0,143.0,25.13,6.1516206850021735,95.0,50.26,7.090935260476734
#_36015,255.0,212.0,16.86,4.595362504909641,159.0,37.65,5.946846112213846
#_36017,212.0,163.0,23.11,5.674440468069109,116.0,45.28,6.7006108207062764
#_36019,373.0,308.0,17.43,3.8500067532965385,226.0,39.41,4.959128355435423
#_36021,20.0,13.0,35.0,20.904114427547512,10.0,50.0,21.913466179497938
#_36023,7.0,4.0,42.86,36.66091100231962,2.0,71.43,33.46589904484862
#_36025,17.0,12.0,29.41,21.659614057503422,11.0,35.29,22.716590000728026
#_36027,599.0,442.0,26.21,3.521883012773058,294.0,50.92,4.003493564059075
#_36029,1412.0,1136.0,19.55,2.0685933684703044,651.0,53.9,2.600061186902607
#_36031,153.0,113.0,26.14,6.9625415391164145,71.0,53.59,7.902381983511891
#_36033,33.0,27.0,18.18,13.159087612472502,18.0,45.45,16.988828125886407
#_36035,29.0,23.0,20.69,14.743523714686297,12.0,58.62,17.925662799230718
#_36037,54.0,45.0,16.67,9.940945258132407,16.0,70.37,12.17920085330664
#_36039,43.0,38.0,11.63,9.582175668080474,27.0,37.21,14.447640284867637
#_36041,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_36043,258.0,192.0,25.58,5.324040141957824,118.0,54.26,6.079028692508457
#_36045,1492.0,1126.0,24.53,2.183270812655659,700.0,53.08,2.532305618697699
#_36047,7587.0,3977.0,47.58,1.123781184669067,2418.0,68.13,1.0485309530376556
#_36049,386.0,297.0,23.06,4.202117204531754,150.0,61.14,4.862689445578966
#_36051,129.0,110.0,14.73,6.115904863968723,71.0,44.96,8.58447183543247
#_36053,30.0,19.0,36.67,17.244699979761897,15.0,50.0,17.892270211835427
#_36055,2359.0,1976.0,16.24,1.4883444341478063,1230.0,47.86,2.0158766826774426
#_36057,36.0,19.0,47.22,16.308067685249124,7.0,80.56,12.927444443508547
#_36059,1012.0,686.0,32.21,2.8790154432325545,435.0,57.02,3.0500898087211827
#_36061,4616.0,1898.0,58.88,1.419494208453709,1207.0,73.85,1.2677518930052405
#_36063,247.0,200.0,19.03,4.895409863021029,138.0,44.13,6.192469755428994
#_36065,710.0,571.0,19.58,2.9188735097395284,342.0,51.83,3.6754102704324043
#_36067,1197.0,954.0,20.3,2.278694876279246,735.0,38.6,2.757952830065354
#_36069,226.0,196.0,13.27,4.423051401044667,115.0,49.12,6.517853311624803
#_36071,319.0,153.0,52.04,5.482377809824417,105.0,67.08,5.156881716088745
#_36073,273.0,244.0,10.62,3.6547458478405432,173.0,36.63,5.715247741854174
#_36075,45.0,30.0,33.33,13.773131655315964,18.0,60.0,14.31381616946834
#_36077,154.0,124.0,19.48,6.255212533559511,83.0,46.1,7.873005525210813
#_36079,99.0,81.0,18.18,7.597402775350869,44.0,55.56,9.788285264879987
#_36081,4668.0,2912.0,37.62,1.3897053469575729,1785.0,61.76,1.3941298726935698
#_36083,1032.0,791.0,23.35,2.5811648645794665,706.0,31.59,2.8362912873172292
#_36085,2293.0,1299.0,43.35,2.028376414358375,773.0,66.29,1.9348951221297543
#_36087,526.0,460.0,12.55,2.8311636202923562,378.0,28.14,3.842986441830267
#_36089,174.0,147.0,15.52,5.380272325372798,72.0,58.62,7.318121193217607
#_36091,307.0,225.0,26.71,4.9493274565128065,146.0,52.44,5.586491574461645
#_36093,486.0,354.0,27.16,3.954465473766319,179.0,63.17,4.2883896048281755
#_36095,40.0,29.0,27.5,13.83762082151408,18.0,55.0,15.417490068101229
#_36097,86.0,66.0,23.26,8.9294065871221,46.0,46.51,10.541837428562088
#_36099,38.0,31.0,18.42,12.325397559254801,24.0,36.84,15.33716693031738
#_36101,158.0,127.0,19.62,6.192286337212234,84.0,46.84,7.780875336784562
#_36103,1431.0,1083.0,24.32,2.2228420379052323,842.0,41.16,2.5498243815383894
#_36105,372.0,205.0,44.89,5.05445820369535,137.0,63.17,4.901634219955276
#_36107,120.0,96.0,20.0,7.15690808473417,69.0,42.5,8.844918503487374
#_36109,61.0,54.0,11.48,7.999867621199823,43.0,29.51,11.445625029907536
