geoid,num_surveys,detectors_found_total,no_detectors_found_prc,no_detectors_found_CI,detectors_working_total,no_detectors_working_prc,no_detectors_working_CI
#_04019,829.0,421.0,49.22,3.403266502004665,252.0,69.6,3.1312678409739996
#_04021,433.0,233.0,46.19,4.69588659619691,125.0,71.13,4.268368630324916
#_04023,147.0,70.0,52.38,8.073741615880458,40.0,72.79,7.194448937896494
#_04025,232.0,171.0,26.29,5.664617341612455,91.0,60.78,6.282698537060823
#_04027,1044.0,732.0,29.89,2.7768905535160897,354.0,66.09,2.871690244638064
#_05001,1.0,1.0,0.0,0.0,1.0,0.0,0.0
#_05003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05005,8.0,6.0,25.0,30.00624934909393,2.0,75.0,30.00624934909393
#_05007,379.0,265.0,30.08,4.617172413037554,124.0,67.28,4.723741302258161
#_05009,65.0,42.0,35.38,11.624165487307366,9.0,86.15,8.397536895286159
#_05011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#_05013,4.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05015,100.0,63.0,37.0,9.462964440385475,52.0,48.0,9.792156861488689
#_05017,24.0,13.0,45.83,19.93447474619451,5.0,79.17,16.247083330247307
#_05019,17.0,14.0,17.65,18.123236894368834,12.0,29.41,21.659614057503422
#_05021,62.0,31.0,50.0,12.446012446018669,19.0,69.35,11.476215603614511
#_05023,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05025,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05027,6.0,2.0,66.67,37.71927447552511,1.0,83.33,29.822835774397223
#_05029,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05031,266.0,171.0,35.71,5.7581356401639505,77.0,71.05,5.450314689128171
#_05033,68.0,43.0,36.76,11.46001792668755,18.0,73.53,10.486024513440286
#_05035,103.0,82.0,20.39,7.780900896650409,67.0,34.95,9.208411095982921
#_05037,16.0,13.0,18.75,19.125306370095096,11.0,31.25,22.71210786673047
#_05039,33.0,21.0,36.36,16.412552343972475,19.0,42.42,16.862434036315484
#_05041,3.0,3.0,0.0,0.0,1.0,66.67,53.34310952616092
#_05043,1.0,0.0,100.0,0.0,0.0,100.0,0.0
#_05045,10.0,8.0,20.0,24.792256855720094,4.0,60.0,30.364189434266148
#_05047,57.0,23.0,59.65,12.736369118229476,7.0,87.72,8.520540369323014
#_05049,39.0,27.0,30.77,14.485539735180295,21.0,46.15,15.645969321202186
