STCNTY,ST_ABBR,COUNTY,E_TOTPOP,avg_tot_fire_rate_per_cap,std_tot_fire_rate_per_cap,avg_sev_fire_rate_per_cap,std_sev_fire_rate_per_cap,2009_tot_fire_rate_per_cap,2009_sev_fire_rate_per_cap,2010_tot_fire_rate_per_cap,2010_sev_fire_rate_per_cap,2011_tot_fire_rate_per_cap,2011_sev_fire_rate_per_cap,2012_tot_fire_rate_per_cap,2012_sev_fire_rate_per_cap,2013_tot_fire_rate_per_cap,2013_sev_fire_rate_per_cap,2014_tot_fire_rate_per_cap,2014_sev_fire_rate_per_cap,2015_tot_fire_rate_per_cap,2015_sev_fire_rate_per_cap,2016_tot_fire_rate_per_cap,2016_sev_fire_rate_per_cap
17075,IL,Iroquois,28814.0,0.0004294787256194905,0.00016058760689210361,0.00019521760255431387,0.00015513774623065072,0.0006594016797390157,0.0003817588672173249,0.00027764281252169086,0.0,0.0005205802734781703,0.00020823210939126813,0.0005205802734781703,0.00017352675782605678,0.0003123481640869022,0.00013882140626084543,0.0003123481640869022,0.00017352675782605678,0.000589990976608593,0.0004511695703477476,0.00024293746095647948,3.470535156521136e-05
17077,IL,Jackson,59188.0,0.0011298742988443602,0.00018995830141955213,0.00039492802595120626,9.338934429231671e-05,0.0010644049469487058,0.00030411569912820166,0.000912347097384605,0.00030411569912820166,0.0014867878624045415,0.000557545448401703,0.0012502534297492735,0.0004899641819287693,0.0011826721632763398,0.0003885922822193688,0.0010981955801851726,0.00042238291545583566,0.001148881530039873,0.0003885922822193688,0.0008954517807663716,0.00030411569912820166
17079,IL,Jasper,9592.0,0.0006385529608006672,0.0002865279549560793,0.00032579232693911596,0.0002117399500791274,0.0006255212677231026,0.0001042535446205171,0.0002085070892410342,0.0002085070892410342,0.0009382819015846538,0.0005212677231025855,0.001042535446205171,0.0007297748123436197,0.0008340283569641367,0.0003127606338615513,0.0006255212677231026,0.0003127606338615513,0.0004170141784820684,0.0003127606338615513,0.0004170141784820684,0.0001042535446205171
17081,IL,Jefferson,38523.0,0.0012232951743114504,0.00031896475116484585,0.0004704981439659424,0.00020601014872169012,0.0009604651766477169,0.00025958518287776133,0.000986423694935493,0.0003634192560288659,0.000986423694935493,0.0003374607377410897,0.0012979259143888068,0.000597045920618851,0.0009085481400721647,0.0002855437011655375,0.0014017599875399112,0.0004412948108921943,0.0018170962801443294,0.0008566311034966124,0.0014277185058276874,0.0006230044389066272
17083,IL,Jersey,22441.0,0.0005625863375072412,0.00013248489937593445,0.0003119290584198565,8.251148342520846e-05,0.0005792968227797335,0.00040105164653981553,0.00040105164653981553,0.000267367764359877,0.0007575419990196515,0.00031192905841985653,0.0004901742346597745,0.00031192905841985653,0.000534735528719754,0.000267367764359877,0.0006238581168397131,0.000178245176239918,0.00040105164653981553,0.00031192905841985653,0.000712980704959672,0.000445612940599795
17085,IL,Jo Daviess,22186.0,0.0006648336788966014,0.00014802853707708398,0.0002986117371315244,0.00011284453624758138,0.0008113224556026323,0.00045073469755701795,0.0004958081673127197,0.0002704408185342108,0.0007211755160912287,0.00022536734877850898,0.0007662489858469305,0.00031551428828991253,0.0005859551068241233,0.00040566122780131615,0.000856395925358334,0.00036058775804561434,0.0006310285765798251,0.0002704408185342108,0.00045073469755701795,9.014693951140358e-05
17087,IL,Johnson,12866.0,0.000699518109746619,0.00026275586964977975,0.00040805223068552776,0.00023775413720952075,0.000544069640914037,0.000310896937665164,0.000310896937665164,0.0,0.000621793875330328,0.000310896937665164,0.00077724234416291,0.000466345406497746,0.000699518109746619,0.000466345406497746,0.000699518109746619,0.000388621172081455,0.001243587750660656,0.000854966578579201,0.000699518109746619,0.000466345406497746
17089,IL,Kane,526615.0,0.00045882665704546964,1.5982468657359662e-05,0.00013268706740218188,1.96933315583047e-05,0.0004500441499007814,0.00013102551199643003,0.0004443473885096323,0.00011203630735926626,0.00047093227500166155,0.00011393522782298263,0.0004766290363928107,0.00016900392127075758,0.00043865062711848313,0.00014052011431501193,0.0004823257977839598,0.0001500147166335938,0.0004500441499007814,0.00012722767106899727,0.0004576398317556469,0.00011773306875041539
17091,IL,Kankakee,111493.0,0.0008419811109217619,7.810871904467124e-05,0.00023431964338568338,4.828560140754977e-05,0.0008879481223036424,0.00023319849676661314,0.0008251639116357081,0.00019732180495636497,0.0008610406034459563,0.0002421676697191752,0.0007265030091575256,0.00023319849676661314,0.0008431022575408322,0.0002421676697191752,0.0009417631600190146,0.0003408285721973577,0.0007354721821100877,0.00019732180495636497,0.0009148556411613285,0.00018835263200380292
17093,IL,Kendall,121452.0,0.00041683134077660306,5.168951796923145e-05,0.00010909659783288872,4.261347441843409e-05,0.0003869841583506241,9.880446596186147e-05,0.0003458156308665152,4.940223298093074e-05,0.0003952178638474459,9.057076046503969e-05,0.0004281526858347331,0.000156440404439614,0.00043638639133155487,0.00012350558245232684,0.0004775549188156638,8.233705496821789e-05,0.0004940223298093074,0.00018114152093007938,0.00037051674735698054,9.057076046503969e-05
17095,IL,Knox,51752.0,0.0009782230638429434,0.00014640952680413475,0.00032124362343484306,8.760250200486317e-05,0.0011980213325088885,0.0002318750966146236,0.000714948214561756,0.0001545833977430824,0.0010627608594836915,0.0003091667954861648,0.0010047920853300356,0.000386458494357706,0.0010241150100479207,0.000386458494357706,0.0010047920853300356,0.00040578141907559126,0.0009854691606121502,0.0003671355696398207,0.0008308857628690679,0.0003284897202040501
17097,IL,Lake,702890.0,0.0006250978104682097,8.841333363650866e-05,0.0001278649575324731,2.248759443417624e-05,0.0006587090440894023,0.00012092930615032224,0.0005306662493420023,9.105265404259556e-05,0.0006473274623340779,0.00014084707422214003,0.0005961103444351179,0.00012946549246681559,0.0007426482095349201,0.00013088819018623114,0.0007070807665495312,0.00014084707422214003,0.0006430593691758313,0.00016361023773278893,0.0004751810382847956,0.00010527963123675112
17099,IL,LaSalle,111935.0,0.0008944923393040603,0.0002964314196695281,0.00027806316165631843,8.614575304254807e-05,0.0014115334792513512,0.00037521776030732123,0.0008665743511859561,0.00015187385536248715,0.0012060570867021038,0.0002590789297360075,0.00103631571894403,0.00024121141734042079,0.0006253629338455354,0.00019654263635145397,0.0006878992272300889,0.0003305489793183544,0.000714700495823469,0.0004020190289007013,0.0006074954214499486,0.00026801268593380084
17101,IL,Lawrence,16582.0,0.0007689060426969002,0.0002692161895342582,0.00021861054155107948,0.00010161729682862182,0.0012061271257990593,0.00024122542515981184,0.0006633699191894826,0.00018091906886985888,0.0004824508503196237,0.00018091906886985888,0.0006633699191894826,0.00024122542515981184,0.0006633699191894826,6.030635628995296e-05,0.0010855144132191532,0.00042214449402967074,0.0009045953443492944,0.00018091906886985888,0.0004824508503196237,0.00024122542515981184
17103,IL,Lee,34718.0,0.0005508669854254278,0.0001573401328838826,0.00019802407972809494,5.643785736647603e-05,0.00043205253758857076,0.0001440175125295236,0.00043205253758857076,0.0002592315225531425,0.0004608560400944755,0.00011521401002361887,0.0005760700501180944,0.0001728210150354283,0.00037444553257676133,0.0001728210150354283,0.0007488910651535227,0.00020162451754133302,0.0005760700501180944,0.0002592315225531425,0.0008064980701653321,0.0002592315225531425
