,COUNT
99701,351
32725,351
70560,351
33023,350
23185,350
14606,350
30223,350
03431,349
19601,349
46806,347
08234,347
40219,347
71291,347
38305,346
01844,346
32805,346
06770,345
29625,345
62864,345
62226,345
30344,345
76301,345
27536,345
39180,344
76542,344
47374,344
42101,344
77901,344
23320,344
01562,344
30052,344
55421,343
33612,343
72501,343
02129,343
62901,343
61603,343
30021,343
06401,343
46410,342
76105,342
06112,342
98366,342
89431,342
75243,342
19464,342
77099,342
76116,341
55408,341
94403,341
28092,341
28311,341
23111,341
79763,340
02895,340
10708,340
05701,340
06514,340
28560,340
19320,340
74136,339
70605,339
11416,339
30047,339
48342,338
01970,338
23324,338
28601,338
35630,337
33135,337
49504,337
60435,337
61401,337
19701,336
19142,336
75067,336
44512,336
84401,336
63104,336
60632,335
98901,335
71292,335
43612,335
90018,335
77550,335
06105,335
24701,334
44121,334
33880,334
08109,334
38501,333
32084,333
39350,333
98168,333
49444,333
98584,333
14305,333
45205,333
43614,333
28304,333
65803,333
47150,332
33147,332
93277,332
33712,332
30120,332
44902,332
13021,332
99654,332
30721,331
10308,331
07040,331
33705,331
10474,330
61104,330
78753,330
45505,330
31088,330
29418,329
46312,329
38637,329
56001,329
10038,329
30028,329
12305,329
06512,329
63801,329
45229,329
30341,328
06457,328
10001,328
31204,328
28306,327
12010,327
55407,327
40214,327
01833,327
27703,326
30518,326
29501,326
81004,326
44509,326
55337,326
27292,326
62959,326
76104,325
48223,325
77459,325
30067,325
11364,325
23451,325
35810,325
75052,324
29801,324
11369,324
01757,324
87124,324
30736,323
41042,323
20032,323
05403,323
89106,323
94501,322
37620,322
29651,321
30297,321
39501,321
98531,321
63376,321
33312,321
60120,321
33610,321
49441,321
60067,320
70115,320
04901,320
60505,320
93291,320
75228,319
67212,319
79924,319
10470,319
67203,319
28677,319
64118,319
99207,319
33404,319
85364,319
32771,319
37643,318
23112,318
77090,318
28358,318
02111,318
40212,317
29646,317
30114,316
27106,316
36303,316
29223,316
22204,316
08816,316
75040,316
71701,316
31903,316
31313,315
48066,315
23231,315
94103,315
28655,315
43206,315
03301,315
43223,315
84119,315
22304,315
38104,314
66061,314
23666,314
30125,314
01906,314
13601,314
40601,313
07079,313
30314,313
20001,313
72956,313
44221,313
20745,313
66762,313
45365,313
62704,312
22980,312
29512,312
72116,312
19713,312
65301,312
48310,312
43920,311
07901,311
07036,311
60634,311
30012,311
99705,311
29072,311
48237,310
74801,310
20602,310
33009,310
07105,310
33161,310
97030,310
70114,310
38372,310
76501,310
40356,310
06340,309
28390,309
08081,309
90006,309
14616,309
01230,309
ANT,309
06880,309
65807,309
63135,309
21122,308
27217,308
22003,308
27704,308
90057,308
66062,307
07011,307
70403,307
06705,307
33157,307
77705,306
80501,306
33021,306
20011,306
07621,306
29340,306
33401,306
63147,305
38671,305
24501,305
40216,305
29577,305
01602,305
89169,304
26554,304
77004,304
29407,304
06051,304
29461,304
31406,304
02050,304
19802,303
80229,303
31906,303
78741,303
02056,303
39452,303
44130,303
38571,302
52601,302
80911,302
11232,302
29611,302
06484,302
98277,302
23323,301
75670,301
24012,301
11361,301
97601,301
48043,301
75702,301
35214,301
07103,301
37917,300
45237,300
81001,300
10541,300
79912,300
90004,300
98632,300
77489,299
34741,299
11693,299
17603,299
77373,299
17104,299
77084,299
23602,299
07605,298
48708,298
30013,298
27320,298
33126,298
30062,298
08096,298
61701,298
44103,298
60181,297
52240,297
66048,297
87105,296
24112,296
90037,296
02081,296
30701,296
93307,295
27260,295
78666,295
60016,295
66101,295
28110,295
74115,294
27284,294
74126,294
61101,294
45426,294
19133,294
98503,293
02780,293
79106,293
53403,293
70586,293
23831,293
29464,293
89104,293
03038,293
32404,293
37920,292
40511,292
28376,292
20744,291
29073,291
72143,291
38141,291
44110,291
65775,291
23454,291
30316,291
17201,290
27101,290
04103,290
61201,290
07109,290
30180,290
45506,290
20774,290
01801,290
45406,290
28052,290
21207,289
32177,289
29403,289
35208,289
63120,289
29401,289
72335,289
80219,289
04210,289
63130,289
83301,289
31709,289
30127,288
11378,288
N0ne,288
28216,288
89102,288
94117,288
73401,288
19146,288
27215,288
38606,288
29506,287
49001,287
11427,287
07024,287
19145,287
77071,287
45069,287
24017,287
64134,287
60440,286
60438,286
27529,286
50501,286
45503,286
65203,286
19151,286
55422,286
46224,285
62221,285
36605,285
50315,285
64132,285
73119,285
27330,285
08520,284
91331,284
49423,284
12866,284
02474,284
73160,284
52001,284
59101,284
85281,283
64050,283
45013,283
40218,283
99709,283
35209,283
49203,283
11706,282
18503,282
77840,282
08859,282
44511,282
22901,282
76903,281
28348,281
30680,281
98023,281
48174,281
61103,281
22630,281
37766,281
32351,281
36867,280
70802,280
74127,280
44095,280
37066,280
94114,280
37343,279
74110,279
61265,279
30188,279
64804,279
49009,279
23701,278
42240,278
07430,278
73129,278
37167,278
72015,278
48220,278
28379,278
26505,278
44484,277
61920,277
01752,277
28215,277
95020,277
71201,277
44203,277
01915,277
75604,277
97006,277
48439,276
76133,276
08232,276
65202,276
55416,276
02914,276
67901,276
78501,275
33149,275
53151,275
08107,275
95202,275
30601,275
70401,275
76549,275
29303,274
07112,274
30088,274
72118,274
75156,274
07052,274
77340,274
70427,273
79605,273
49120,273
02601,273
35805,273
94122,273
02703,273
76021,272
14619,272
02723,272
23601,272
21205,272
19703,272
29488,272
55116,272
62521,272
64109,272
50317,272
02113,271
44903,271
08527,271
45239,271
03246,271
22801,271
71457,271
28205,271
45638,271
43068,271
37921,271
02141,271
48823,270
33604,270
10901,270
38614,270
19382,270
44705,270
60638,269
06114,269
12206,269
45238,269
72104,269
55124,269
13760,268
38053,268
40391,268
44305,268
43160,268
07078,268
19804,268
30115,267
44123,267
10805,267
36301,267
98198,267
75211,267
77703,267
01104,267
30078,267
23456,267
90047,266
29550,266
48071,266
70360,266
79701,266
45405,266
28212,266
17602,265
95821,265
38801,265
47302,265
38017,265
89122,265
95610,265
37160,265
95307,265
27030,265
27701,265
04011,265
30741,265
34787,265
04330,265
14580,265
75482,265
11239,265
10302,265
45251,264
32822,264
62234,264
17111,264
67217,264
44124,264
75061,264
23235,264
44515,264
98362,264
01880,264
97701,263
55379,263
48911,263
97526,263
21921,263
62203,263
45331,263
23606,262
49505,262
06708,262
54220,262
11104,262
77063,262
85714,262
24060,262
77057,262
40509,262
45385,262
38901,262
95991,261
79603,261
66604,261
23228,261
78758,261
65804,261
12590,260
77020,260
45240,260
30084,260
98133,260
30720,260
15601,260
97501,260
45014,260
98520,260
42071,260
60073,260
23510,260
73112,259
38024,259
29906,259
37075,259
66502,259
01760,259
14424,259
53223,259
06067,259
60462,258
93612,258
77060,258
80231,258
37914,258
98837,258
21045,258
71360,258
06604,258
33711,258
08016,258
45245,258
01821,257
19148,257
21044,257
67207,257
73127,257
75110,257
80233,257
68110,257
45005,257
79901,257
29209,256
44506,256
66441,256
60148,256
33756,255
33024,255
37087,255
43213,255
77532,255
30401,255
11379,255
08638,255
89509,255
33617,255
90046,254
98661,254
21157,254
CRD,254
72034,254
29732,254
89103,254
39120,254
32571,254
61874,254
05301,254
46360,254
80205,253
30144,253
44310,253
27909,253
