st_fdid2,station_data_quality,2009,2010,2011,2012,2013,2014,2015,2016,zero_years,sum_tot_fires,std,variation,geometric_variation
AK22210,0,0,0,0,0,1,0,0,1,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK22211,0,1,0,0,2,0,0,0,1,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK22214,0,0,0,0,0,0,0,2,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK22215,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22216,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK22217,0,1,0,0,0,1,0,0,0,6,2,0.4629100498862757,1.7320508075688772,0.3783192139298859
AK22218,0,2,0,0,0,3,0,0,0,6,5,1.1877349391654208,1.7776388834631178,0.7865037871768068
AK23100,1,252,232,202,247,262,274,294,253,0,2016,27.448653362753,0.10188834981323625,0.1182866132124627
AK23150,1,11,9,6,16,22,14,15,7,0,100,5.31843156256751,0.39799497484264795,0.4989827625050236
AK23160,0,4,3,9,5,4,2,4,6,0,37,2.1339098923270936,0.43158701142354894,0.4338657287115031
AK24100,0,1,4,8,9,7,5,5,7,0,46,2.5495097567963922,0.4147561745291068,0.6664118522488565
AK24200,0,1,2,4,4,2,2,3,2,0,20,1.0690449676496976,0.4,0.3616086045547442
AK24300,0,0,0,2,2,2,0,0,0,5,6,1.0350983390135313,1.2909944487358056,0.7657682726109429
AK24304,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK24310,0,0,0,0,1,2,0,0,0,6,3,0.7440238091428449,1.8559214542766738,0.5351621290142332
AK24410,0,1,0,1,0,0,0,1,0,5,3,0.5175491695067657,1.2909944487358056,0.4315213324989562
AK24600,0,0,0,0,1,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK24700,0,0,0,0,0,0,1,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK25000,0,0,1,0,0,0,1,2,0,5,4,0.7559289460184544,1.4142135623730951,0.5629512148509475
AK25100,1,5,1,6,6,6,4,5,7,0,40,1.8516401995451028,0.34641016151377546,0.5536696782826751
AK25101,1,21,12,12,13,10,16,15,4,0,103,4.911720676097125,0.3568539019318273,0.5483601764005699
AK25110,0,1,2,2,2,1,1,4,0,1,13,1.1877349391654208,0.6837072628704299,0.6019171548726407
AK25111,0,0,0,0,0,1,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK25135,0,1,1,0,1,0,2,1,3,2,9,0.9910312089651149,0.8240220541217403,0.6118878466394848
AK25150,1,50,46,41,36,37,40,26,46,0,322,7.497618669570073,0.17424546756652842,0.21944130398257222
AK25300,0,4,0,0,1,4,4,4,8,2,25,2.6958963523950885,0.8069696400732806,1.28747035384131
AK25400,0,6,2,2,6,7,5,4,20,0,52,5.756983337031396,0.8284868934053082,0.8574797312242779
AK25500,0,1,3,2,2,5,2,0,1,1,16,1.5118578920369088,0.7071067811865476,0.7046145012302372
AK25600,0,3,2,5,4,7,3,59,14,0,97,19.320141229889007,1.4905020442542265,1.6508270335866575
AK25911,1,12,15,24,25,24,24,26,34,0,184,6.782329983125268,0.2758386421836852,0.3704069333260962
AK26000,0,0,2,0,0,0,0,0,0,7,2,0.7071067811865476,2.6457513110645907,0.4746462044137798
AK26100,1,13,15,9,7,9,9,6,16,0,84,3.7032803990902057,0.329914439536929,0.37842005191536954
AK26200,1,9,8,12,13,15,11,11,14,0,93,2.38671920665766,0.19204915160743818,0.21668612334457826
AK26310,0,1,0,0,0,0,0,0,0,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK26320,1,22,24,21,42,28,26,21,19,0,203,7.327784697398564,0.2701286674060137,0.2723886109607552
AK26400,0,2,5,3,2,7,1,2,1,0,23,2.100170061141308,0.6833145063261614,0.6341763326808298
AK26401,0,0,0,2,3,1,3,5,2,2,16,1.6903085094570331,0.7905694150420949,0.9248477197743579
AK26402,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
AK26410,0,0,0,0,0,0,0,0,1,7,1,0.3535533905932738,2.6457513110645907,0.27770376826483245
